bash-4.4# time kafka-producer-perf-test.sh --topic testes-de-performance --num-records 10000000 --throughput -1 --record-size 1000 --producer.config opt/kafka/config/producer.prope
rties
70401 records sent, 13844.8 records/sec (13.20 MB/sec), 1226.0 ms avg latency, 2978.0 ms max latency.
123264 records sent, 24608.5 records/sec (23.47 MB/sec), 1336.0 ms avg latency, 8667.0 ms max latency.
111392 records sent, 22127.9 records/sec (21.10 MB/sec), 1447.5 ms avg latency, 8052.0 ms max latency.
106112 records sent, 21222.4 records/sec (20.24 MB/sec), 1517.8 ms avg latency, 8470.0 ms max latency.
124536 records sent, 24907.2 records/sec (23.75 MB/sec), 1440.4 ms avg latency, 8259.0 ms max latency.
134816 records sent, 26781.1 records/sec (25.54 MB/sec), 1191.1 ms avg latency, 7447.0 ms max latency.
112208 records sent, 22441.6 records/sec (21.40 MB/sec), 1414.2 ms avg latency, 7088.0 ms max latency.
125712 records sent, 24913.2 records/sec (23.76 MB/sec), 1340.5 ms avg latency, 8027.0 ms max latency.
124320 records sent, 24834.2 records/sec (23.68 MB/sec), 1263.9 ms avg latency, 8082.0 ms max latency.
101232 records sent, 20246.4 records/sec (19.31 MB/sec), 1449.0 ms avg latency, 8547.0 ms max latency.
114704 records sent, 22840.3 records/sec (21.78 MB/sec), 1599.2 ms avg latency, 9963.0 ms max latency.
138784 records sent, 27684.8 records/sec (26.40 MB/sec), 1222.1 ms avg latency, 9926.0 ms max latency.
107952 records sent, 21393.6 records/sec (20.40 MB/sec), 1319.8 ms avg latency, 9149.0 ms max latency.
130286 records sent, 26046.8 records/sec (24.84 MB/sec), 1384.3 ms avg latency, 9505.0 ms max latency.
121840 records sent, 24107.6 records/sec (22.99 MB/sec), 1313.0 ms avg latency, 8696.0 ms max latency.
105856 records sent, 21154.3 records/sec (20.17 MB/sec), 1434.2 ms avg latency, 9182.0 ms max latency.
123056 records sent, 24611.2 records/sec (23.47 MB/sec), 1477.9 ms avg latency, 9431.0 ms max latency.
123248 records sent, 24575.9 records/sec (23.44 MB/sec), 1247.2 ms avg latency, 9070.0 ms max latency.
112688 records sent, 22434.4 records/sec (21.40 MB/sec), 1459.4 ms avg latency, 9134.0 ms max latency.
136480 records sent, 26583.6 records/sec (25.35 MB/sec), 1331.0 ms avg latency, 9351.0 ms max latency.
111568 records sent, 22313.6 records/sec (21.28 MB/sec), 1303.4 ms avg latency, 9219.0 ms max latency.
116379 records sent, 23045.3 records/sec (21.98 MB/sec), 1428.5 ms avg latency, 10231.0 ms max latency.
111744 records sent, 22259.8 records/sec (21.23 MB/sec), 1626.4 ms avg latency, 10888.0 ms max latency.
113712 records sent, 22733.3 records/sec (21.68 MB/sec), 1390.4 ms avg latency, 10682.0 ms max latency.
116211 records sent, 23237.6 records/sec (22.16 MB/sec), 1436.9 ms avg latency, 10832.0 ms max latency.
122864 records sent, 24572.8 records/sec (23.43 MB/sec), 1445.4 ms avg latency, 9501.0 ms max latency.
124976 records sent, 24900.6 records/sec (23.75 MB/sec), 1268.4 ms avg latency, 8901.0 ms max latency.
110464 records sent, 21991.6 records/sec (20.97 MB/sec), 1402.5 ms avg latency, 10199.0 ms max latency.
122240 records sent, 24443.1 records/sec (23.31 MB/sec), 1395.7 ms avg latency, 10973.0 ms max latency.
116309 records sent, 23215.4 records/sec (22.14 MB/sec), 1347.2 ms avg latency, 11022.0 ms max latency.
108592 records sent, 21675.0 records/sec (20.67 MB/sec), 1503.6 ms avg latency, 11767.0 ms max latency.
123287 records sent, 24652.5 records/sec (23.51 MB/sec), 1367.9 ms avg latency, 12082.0 ms max latency.
126410 records sent, 25176.3 records/sec (24.01 MB/sec), 1287.8 ms avg latency, 12058.0 ms max latency.
102304 records sent, 20298.4 records/sec (19.36 MB/sec), 1594.4 ms avg latency, 11405.0 ms max latency.
122175 records sent, 24435.0 records/sec (23.30 MB/sec), 1455.3 ms avg latency, 11905.0 ms max latency.
115488 records sent, 23033.1 records/sec (21.97 MB/sec), 1248.8 ms avg latency, 11607.0 ms max latency.
119200 records sent, 23782.9 records/sec (22.68 MB/sec), 1562.8 ms avg latency, 11721.0 ms max latency.
117328 records sent, 23465.6 records/sec (22.38 MB/sec), 1595.3 ms avg latency, 11324.0 ms max latency.
125552 records sent, 25105.4 records/sec (23.94 MB/sec), 1299.7 ms avg latency, 8929.0 ms max latency.
114160 records sent, 22713.9 records/sec (21.66 MB/sec), 1340.9 ms avg latency, 6672.0 ms max latency.
118224 records sent, 23489.8 records/sec (22.40 MB/sec), 1511.4 ms avg latency, 7708.0 ms max latency.
126032 records sent, 25206.4 records/sec (24.04 MB/sec), 1240.5 ms avg latency, 7006.0 ms max latency.
107232 records sent, 21429.3 records/sec (20.44 MB/sec), 1459.8 ms avg latency, 7125.0 ms max latency.
127776 records sent, 25539.9 records/sec (24.36 MB/sec), 1367.4 ms avg latency, 7320.0 ms max latency.
118800 records sent, 23760.0 records/sec (22.66 MB/sec), 1331.7 ms avg latency, 6351.0 ms max latency.
102288 records sent, 20287.2 records/sec (19.35 MB/sec), 1577.2 ms avg latency, 8059.0 ms max latency.
101984 records sent, 20376.4 records/sec (19.43 MB/sec), 1606.9 ms avg latency, 9284.0 ms max latency.
134944 records sent, 26833.2 records/sec (25.59 MB/sec), 1293.4 ms avg latency, 8862.0 ms max latency.
10000000 records sent, 22843.880353 records/sec (21.79 MB/sec), 1426.02 ms avg latency, 12082.00 ms max latency, 445 ms 50th, 5968 ms 95th, 8057 ms 99th, 10640 ms 99.9th.

real    7m20.062s
user    0m47.388s
sys     0m40.031s
bash-4.4# 



bash-4.4# time kafka-producer-perf-test.sh --topic testes-de-performance --num-records 10000000 --throughput -1 --record-size 1000 --producer.config opt/kafka/config/producer.properties
55792 records sent, 11010.9 records/sec (10.50 MB/sec), 1382.7 ms avg latency, 3296.0 ms max latency.
24080 records sent, 4782.5 records/sec (4.56 MB/sec), 3824.4 ms avg latency, 7119.0 ms max latency.
66688 records sent, 13271.2 records/sec (12.66 MB/sec), 3815.2 ms avg latency, 9711.0 ms max latency.
108320 records sent, 21646.7 records/sec (20.64 MB/sec), 1484.6 ms avg latency, 5502.0 ms max latency.
105056 records sent, 20944.2 records/sec (19.97 MB/sec), 1464.8 ms avg latency, 5749.0 ms max latency.
127792 records sent, 25355.6 records/sec (24.18 MB/sec), 1181.7 ms avg latency, 6111.0 ms max latency.
110939 records sent, 21963.8 records/sec (20.95 MB/sec), 1364.2 ms avg latency, 7081.0 ms max latency.
91472 records sent, 18257.9 records/sec (17.41 MB/sec), 1585.3 ms avg latency, 7493.0 ms max latency.
100480 records sent, 20075.9 records/sec (19.15 MB/sec), 1692.1 ms avg latency, 8442.0 ms max latency.
116800 records sent, 23170.0 records/sec (22.10 MB/sec), 1565.0 ms avg latency, 8275.0 ms max latency.
99153 records sent, 19830.6 records/sec (18.91 MB/sec), 1417.1 ms avg latency, 8258.0 ms max latency.
114384 records sent, 22849.4 records/sec (21.79 MB/sec), 1652.4 ms avg latency, 8758.0 ms max latency.
108736 records sent, 21438.5 records/sec (20.45 MB/sec), 1571.2 ms avg latency, 8133.0 ms max latency.
94464 records sent, 18873.9 records/sec (18.00 MB/sec), 1818.6 ms avg latency, 7960.0 ms max latency.
124928 records sent, 24980.6 records/sec (23.82 MB/sec), 1477.3 ms avg latency, 7815.0 ms max latency.
112112 records sent, 21905.4 records/sec (20.89 MB/sec), 1371.3 ms avg latency, 5547.0 ms max latency.
119088 records sent, 23718.0 records/sec (22.62 MB/sec), 1520.4 ms avg latency, 6079.0 ms max latency.
118425 records sent, 23642.4 records/sec (22.55 MB/sec), 1359.6 ms avg latency, 5522.0 ms max latency.
105823 records sent, 21063.5 records/sec (20.09 MB/sec), 1454.8 ms avg latency, 5665.0 ms max latency.
110816 records sent, 22141.1 records/sec (21.12 MB/sec), 1540.6 ms avg latency, 6639.0 ms max latency.
124608 records sent, 24782.8 records/sec (23.63 MB/sec), 1296.7 ms avg latency, 6759.0 ms max latency.
102240 records sent, 20301.8 records/sec (19.36 MB/sec), 1546.0 ms avg latency, 7751.0 ms max latency.
116144 records sent, 23150.1 records/sec (22.08 MB/sec), 1496.9 ms avg latency, 8181.0 ms max latency.
129152 records sent, 25820.1 records/sec (24.62 MB/sec), 1283.8 ms avg latency, 6964.0 ms max latency.
116448 records sent, 23284.9 records/sec (22.21 MB/sec), 1325.9 ms avg latency, 6387.0 ms max latency.
109472 records sent, 21859.4 records/sec (20.85 MB/sec), 1503.5 ms avg latency, 7372.0 ms max latency.
103792 records sent, 20754.2 records/sec (19.79 MB/sec), 1588.0 ms avg latency, 7659.0 ms max latency.
114896 records sent, 22970.0 records/sec (21.91 MB/sec), 1426.2 ms avg latency, 7656.0 ms max latency.
133616 records sent, 26638.0 records/sec (25.40 MB/sec), 1298.8 ms avg latency, 7356.0 ms max latency.
111792 records sent, 22318.2 records/sec (21.28 MB/sec), 1259.2 ms avg latency, 7414.0 ms max latency.
124816 records sent, 24958.2 records/sec (23.80 MB/sec), 1437.2 ms avg latency, 8777.0 ms max latency.
109760 records sent, 21816.7 records/sec (20.81 MB/sec), 1441.5 ms avg latency, 8476.0 ms max latency.
102206 records sent, 20420.8 records/sec (19.47 MB/sec), 1537.8 ms avg latency, 10098.0 ms max latency.
127536 records sent, 25507.2 records/sec (24.33 MB/sec), 1410.3 ms avg latency, 10269.0 ms max latency.
128592 records sent, 25718.4 records/sec (24.53 MB/sec), 1335.3 ms avg latency, 8976.0 ms max latency.
106048 records sent, 21188.4 records/sec (20.21 MB/sec), 1377.6 ms avg latency, 9313.0 ms max latency.
102998 records sent, 20591.4 records/sec (19.64 MB/sec), 1358.4 ms avg latency, 10687.0 ms max latency.
95880 records sent, 18993.7 records/sec (18.11 MB/sec), 1743.4 ms avg latency, 11694.0 ms max latency.
99936 records sent, 19903.6 records/sec (18.98 MB/sec), 1795.5 ms avg latency, 12183.0 ms max latency.
119488 records sent, 23888.0 records/sec (22.78 MB/sec), 1484.7 ms avg latency, 11459.0 ms max latency.
130336 records sent, 26004.8 records/sec (24.80 MB/sec), 1242.7 ms avg latency, 10045.0 ms max latency.
98928 records sent, 19722.5 records/sec (18.81 MB/sec), 1464.3 ms avg latency, 10358.0 ms max latency.
128096 records sent, 25583.4 records/sec (24.40 MB/sec), 1471.7 ms avg latency, 10545.0 ms max latency.
129987 records sent, 25935.2 records/sec (24.73 MB/sec), 1242.4 ms avg latency, 9550.0 ms max latency.
94736 records sent, 18890.5 records/sec (18.02 MB/sec), 1472.1 ms avg latency, 10833.0 ms max latency.
130348 records sent, 26064.4 records/sec (24.86 MB/sec), 1360.2 ms avg latency, 13015.0 ms max latency.
116144 records sent, 23081.1 records/sec (22.01 MB/sec), 1481.2 ms avg latency, 13759.0 ms max latency.
135744 records sent, 27143.4 records/sec (25.89 MB/sec), 1258.4 ms avg latency, 12428.0 ms max latency.
117264 records sent, 23382.7 records/sec (22.30 MB/sec), 1218.9 ms avg latency, 10721.0 ms max latency.
123840 records sent, 24605.6 records/sec (23.47 MB/sec), 1414.8 ms avg latency, 11888.0 ms max latency.
109280 records sent, 21856.0 records/sec (20.84 MB/sec), 1428.4 ms avg latency, 12606.0 ms max latency.
126600 records sent, 25314.9 records/sec (24.14 MB/sec), 1379.7 ms avg latency, 12878.0 ms max latency.
110504 records sent, 22083.1 records/sec (21.06 MB/sec), 1404.9 ms avg latency, 12700.0 ms max latency.
126432 records sent, 25200.7 records/sec (24.03 MB/sec), 1339.0 ms avg latency, 12831.0 ms max latency.
125552 records sent, 25100.4 records/sec (23.94 MB/sec), 1341.3 ms avg latency, 13035.0 ms max latency.
114963 records sent, 22992.6 records/sec (21.93 MB/sec), 1434.6 ms avg latency, 12579.0 ms max latency.
126429 records sent, 25175.0 records/sec (24.01 MB/sec), 1310.1 ms avg latency, 13193.0 ms max latency.
108443 records sent, 21628.0 records/sec (20.63 MB/sec), 1357.0 ms avg latency, 13436.0 ms max latency.
128896 records sent, 25753.4 records/sec (24.56 MB/sec), 1381.5 ms avg latency, 13328.0 ms max latency.
125997 records sent, 25059.1 records/sec (23.90 MB/sec), 1333.4 ms avg latency, 13081.0 ms max latency.
115360 records sent, 22952.6 records/sec (21.89 MB/sec), 1363.0 ms avg latency, 12799.0 ms max latency.
122352 records sent, 24261.7 records/sec (23.14 MB/sec), 1460.7 ms avg latency, 13053.0 ms max latency.
113536 records sent, 22707.2 records/sec (21.66 MB/sec), 1437.4 ms avg latency, 13165.0 ms max latency.
107998 records sent, 21578.0 records/sec (20.58 MB/sec), 1386.4 ms avg latency, 12759.0 ms max latency.
131536 records sent, 26119.1 records/sec (24.91 MB/sec), 1458.6 ms avg latency, 13266.0 ms max latency.
125712 records sent, 25142.4 records/sec (23.98 MB/sec), 1268.0 ms avg latency, 12222.0 ms max latency.
123728 records sent, 24701.1 records/sec (23.56 MB/sec), 1252.1 ms avg latency, 11663.0 ms max latency.
115836 records sent, 23121.0 records/sec (22.05 MB/sec), 1486.9 ms avg latency, 12088.0 ms max latency.
110816 records sent, 22163.2 records/sec (21.14 MB/sec), 1488.4 ms avg latency, 12931.0 ms max latency.
136848 records sent, 27369.6 records/sec (26.10 MB/sec), 1250.2 ms avg latency, 12605.0 ms max latency.
108816 records sent, 21577.6 records/sec (20.58 MB/sec), 1358.9 ms avg latency, 11024.0 ms max latency.
125328 records sent, 25055.6 records/sec (23.89 MB/sec), 1446.4 ms avg latency, 10996.0 ms max latency.
121088 records sent, 24217.6 records/sec (23.10 MB/sec), 1260.8 ms avg latency, 11508.0 ms max latency.
115328 records sent, 23065.6 records/sec (22.00 MB/sec), 1472.3 ms avg latency, 11320.0 ms max latency.
122880 records sent, 24395.5 records/sec (23.27 MB/sec), 1382.8 ms avg latency, 11415.0 ms max latency.
125936 records sent, 25076.9 records/sec (23.92 MB/sec), 1228.1 ms avg latency, 11317.0 ms max latency.
108544 records sent, 21665.5 records/sec (20.66 MB/sec), 1473.6 ms avg latency, 11380.0 ms max latency.
132160 records sent, 26389.8 records/sec (25.17 MB/sec), 1329.7 ms avg latency, 10877.0 ms max latency.
119536 records sent, 23750.4 records/sec (22.65 MB/sec), 1289.6 ms avg latency, 10778.0 ms max latency.
117616 records sent, 23016.8 records/sec (21.95 MB/sec), 1467.6 ms avg latency, 10894.0 ms max latency.
103168 records sent, 20555.5 records/sec (19.60 MB/sec), 1592.1 ms avg latency, 11428.0 ms max latency.
126720 records sent, 25313.6 records/sec (24.14 MB/sec), 1351.6 ms avg latency, 11358.0 ms max latency.
117008 records sent, 23313.0 records/sec (22.23 MB/sec), 1270.1 ms avg latency, 11292.0 ms max latency.
119258 records sent, 23823.0 records/sec (22.72 MB/sec), 1508.1 ms avg latency, 10574.0 ms max latency.
130368 records sent, 26073.6 records/sec (24.87 MB/sec), 1294.1 ms avg latency, 10493.0 ms max latency.
104128 records sent, 20825.6 records/sec (19.86 MB/sec), 1373.6 ms avg latency, 11065.0 ms max latency.
113440 records sent, 22642.7 records/sec (21.59 MB/sec), 1501.6 ms avg latency, 11120.0 ms max latency.
10000000 records sent, 22621.363616 records/sec (21.57 MB/sec), 1441.23 ms avg latency, 13759.00 ms max latency, 337 ms 50th, 6065 ms 95th, 8816 ms 99th, 12573 ms 99.9th.

real    7m24.071s
user    0m44.452s
sys     0m40.713s



bash-4.4# time kafka-producer-perf-test.sh --topic testes-de-performance --num-records 10000000 --throughput -1 --record-size 1000 --producer.config opt/kafka/config/producer.properties
49953 records sent, 9909.3 records/sec (9.45 MB/sec), 1515.8 ms avg latency, 3097.0 ms max latency.
79472 records sent, 15878.5 records/sec (15.14 MB/sec), 2150.7 ms avg latency, 4517.0 ms max latency.
92704 records sent, 18540.8 records/sec (17.68 MB/sec), 1716.6 ms avg latency, 4508.0 ms max latency.
91184 records sent, 18106.4 records/sec (17.27 MB/sec), 1761.1 ms avg latency, 5354.0 ms max latency.
77856 records sent, 15527.7 records/sec (14.81 MB/sec), 1956.0 ms avg latency, 6101.0 ms max latency.
101152 records sent, 20046.0 records/sec (19.12 MB/sec), 1765.3 ms avg latency, 6755.0 ms max latency.
104048 records sent, 20730.8 records/sec (19.77 MB/sec), 1558.8 ms avg latency, 7174.0 ms max latency.
95312 records sent, 19024.4 records/sec (18.14 MB/sec), 1663.1 ms avg latency, 7976.0 ms max latency.
88353 records sent, 17621.3 records/sec (16.80 MB/sec), 1867.5 ms avg latency, 8496.0 ms max latency.
101775 records sent, 20310.3 records/sec (19.37 MB/sec), 1657.7 ms avg latency, 8347.0 ms max latency.
94576 records sent, 18888.8 records/sec (18.01 MB/sec), 1700.9 ms avg latency, 7822.0 ms max latency.
94912 records sent, 18910.5 records/sec (18.03 MB/sec), 1754.3 ms avg latency, 7988.0 ms max latency.
106688 records sent, 21197.7 records/sec (20.22 MB/sec), 1538.3 ms avg latency, 6661.0 ms max latency.
90059 records sent, 18011.8 records/sec (17.18 MB/sec), 1712.6 ms avg latency, 7232.0 ms max latency.
116917 records sent, 23234.7 records/sec (22.16 MB/sec), 1537.3 ms avg latency, 7883.0 ms max latency.
107408 records sent, 21396.0 records/sec (20.40 MB/sec), 1456.9 ms avg latency, 8159.0 ms max latency.
89040 records sent, 17808.0 records/sec (16.98 MB/sec), 1729.2 ms avg latency, 9911.0 ms max latency.
119888 records sent, 23972.8 records/sec (22.86 MB/sec), 1493.1 ms avg latency, 10105.0 ms max latency.
115296 records sent, 22926.2 records/sec (21.86 MB/sec), 1364.0 ms avg latency, 10051.0 ms max latency.
96704 records sent, 19294.5 records/sec (18.40 MB/sec), 1516.6 ms avg latency, 10393.0 ms max latency.
133872 records sent, 26572.4 records/sec (25.34 MB/sec), 1379.3 ms avg latency, 10390.0 ms max latency.
113392 records sent, 22664.8 records/sec (21.61 MB/sec), 1315.5 ms avg latency, 9714.0 ms max latency.
93568 records sent, 18709.9 records/sec (17.84 MB/sec), 1686.4 ms avg latency, 11704.0 ms max latency.
108800 records sent, 21669.0 records/sec (20.67 MB/sec), 1541.6 ms avg latency, 12368.0 ms max latency.
105504 records sent, 20797.2 records/sec (19.83 MB/sec), 1557.1 ms avg latency, 12347.0 ms max latency.
126192 records sent, 25067.9 records/sec (23.91 MB/sec), 1390.4 ms avg latency, 11856.0 ms max latency.
108320 records sent, 21603.5 records/sec (20.60 MB/sec), 1457.7 ms avg latency, 10493.0 ms max latency.
95204 records sent, 18938.5 records/sec (18.06 MB/sec), 1482.0 ms avg latency, 10928.0 ms max latency.
73258 records sent, 13830.1 records/sec (13.19 MB/sec), 1895.7 ms avg latency, 12118.0 ms max latency.
94992 records sent, 18998.4 records/sec (18.12 MB/sec), 2266.9 ms avg latency, 12839.0 ms max latency.
95888 records sent, 19177.6 records/sec (18.29 MB/sec), 1675.3 ms avg latency, 12329.0 ms max latency.
123040 records sent, 24490.4 records/sec (23.36 MB/sec), 1487.2 ms avg latency, 11690.0 ms max latency.
118624 records sent, 23227.7 records/sec (22.15 MB/sec), 1384.2 ms avg latency, 10504.0 ms max latency.
102224 records sent, 20440.7 records/sec (19.49 MB/sec), 1576.3 ms avg latency, 10301.0 ms max latency.
99008 records sent, 19762.1 records/sec (18.85 MB/sec), 1530.0 ms avg latency, 11216.0 ms max latency.
102752 records sent, 20407.5 records/sec (19.46 MB/sec), 1800.8 ms avg latency, 11768.0 ms max latency.
104560 records sent, 20912.0 records/sec (19.94 MB/sec), 1629.2 ms avg latency, 10779.0 ms max latency.
120704 records sent, 24107.1 records/sec (22.99 MB/sec), 1393.7 ms avg latency, 9026.0 ms max latency.
111152 records sent, 22186.0 records/sec (21.16 MB/sec), 1315.5 ms avg latency, 8376.0 ms max latency.
111264 records sent, 22248.4 records/sec (21.22 MB/sec), 1557.0 ms avg latency, 9171.0 ms max latency.
109632 records sent, 21895.7 records/sec (20.88 MB/sec), 1492.0 ms avg latency, 8487.0 ms max latency.
101216 records sent, 20166.6 records/sec (19.23 MB/sec), 1522.6 ms avg latency, 8610.0 ms max latency.
114016 records sent, 22608.8 records/sec (21.56 MB/sec), 1535.8 ms avg latency, 9009.0 ms max latency.
109408 records sent, 21781.4 records/sec (20.77 MB/sec), 1441.9 ms avg latency, 9157.0 ms max latency.
103350 records sent, 20670.0 records/sec (19.71 MB/sec), 1529.1 ms avg latency, 9590.0 ms max latency.
118506 records sent, 23625.6 records/sec (22.53 MB/sec), 1471.9 ms avg latency, 9863.0 ms max latency.
112140 records sent, 22162.1 records/sec (21.14 MB/sec), 1409.8 ms avg latency, 9121.0 ms max latency.
111200 records sent, 22173.5 records/sec (21.15 MB/sec), 1542.2 ms avg latency, 9892.0 ms max latency.
129078 records sent, 25702.5 records/sec (24.51 MB/sec), 1350.6 ms avg latency, 9874.0 ms max latency.
110368 records sent, 22003.2 records/sec (20.98 MB/sec), 1353.5 ms avg latency, 8139.0 ms max latency.
134448 records sent, 26852.0 records/sec (25.61 MB/sec), 1331.9 ms avg latency, 8780.0 ms max latency.
115920 records sent, 23165.5 records/sec (22.09 MB/sec), 1311.7 ms avg latency, 8638.0 ms max latency.
97632 records sent, 19526.4 records/sec (18.62 MB/sec), 1640.0 ms avg latency, 9689.0 ms max latency.
129009 records sent, 25791.5 records/sec (24.60 MB/sec), 1447.8 ms avg latency, 9855.0 ms max latency.
106866 records sent, 21373.2 records/sec (20.38 MB/sec), 1394.1 ms avg latency, 9685.0 ms max latency.
121584 records sent, 24287.7 records/sec (23.16 MB/sec), 1496.9 ms avg latency, 10528.0 ms max latency.
121488 records sent, 24273.3 records/sec (23.15 MB/sec), 1299.1 ms avg latency, 10230.0 ms max latency.
112048 records sent, 22409.6 records/sec (21.37 MB/sec), 1468.4 ms avg latency, 9633.0 ms max latency.
95808 records sent, 19032.2 records/sec (18.15 MB/sec), 1493.1 ms avg latency, 10083.0 ms max latency.
128272 records sent, 25633.9 records/sec (24.45 MB/sec), 1453.0 ms avg latency, 11229.0 ms max latency.
123184 records sent, 24267.9 records/sec (23.14 MB/sec), 1369.0 ms avg latency, 10480.0 ms max latency.
105088 records sent, 20958.9 records/sec (19.99 MB/sec), 1450.8 ms avg latency, 10061.0 ms max latency.
121984 records sent, 24396.8 records/sec (23.27 MB/sec), 1339.5 ms avg latency, 10818.0 ms max latency.
124016 records sent, 24714.2 records/sec (23.57 MB/sec), 1374.6 ms avg latency, 10580.0 ms max latency.
103696 records sent, 20554.2 records/sec (19.60 MB/sec), 1472.7 ms avg latency, 11129.0 ms max latency.
127616 records sent, 25518.1 records/sec (24.34 MB/sec), 1391.3 ms avg latency, 11164.0 ms max latency.
123328 records sent, 24641.0 records/sec (23.50 MB/sec), 1361.9 ms avg latency, 9533.0 ms max latency.
116112 records sent, 23079.3 records/sec (22.01 MB/sec), 1406.3 ms avg latency, 9102.0 ms max latency.
133824 records sent, 26727.4 records/sec (25.49 MB/sec), 1281.3 ms avg latency, 9257.0 ms max latency.
104240 records sent, 20848.0 records/sec (19.88 MB/sec), 1368.9 ms avg latency, 9550.0 ms max latency.
132784 records sent, 26335.6 records/sec (25.12 MB/sec), 1447.0 ms avg latency, 10228.0 ms max latency.
102080 records sent, 20306.3 records/sec (19.37 MB/sec), 1484.9 ms avg latency, 9885.0 ms max latency.
122688 records sent, 24449.6 records/sec (23.32 MB/sec), 1345.0 ms avg latency, 9913.0 ms max latency.
120880 records sent, 24113.3 records/sec (23.00 MB/sec), 1434.1 ms avg latency, 10198.0 ms max latency.
